Generation,Best,Average
1,-200.0,-200.0
2,-200.0,-200.0
3,-200.0,-200.0
4,-200.0,-200.0
5,-200.0,-200.0
6,-200.0,-200.0
7,-200.0,-200.0
8,-200.0,-200.0
9,-200.0,-200.0
10,-200.0,-200.0
11,-200.0,-200.0
12,-200.0,-200.0
13,-173.0,-199.1
14,-120.0,-194.45555555555555
15,-121.0,-194.8
16,-122.0,-195.63333333333333
17,-145.33333333333334,-196.43333333333334
18,-124.33333333333333,-193.17777777777778
19,-118.0,-191.77777777777777
20,-122.0,-194.85555555555555
21,-120.66666666666667,-197.35555555555555
22,-121.0,-194.8
23,-123.0,-194.87777777777777
24,-116.0,-189.46666666666667
25,-117.66666666666667,-191.8
26,-116.0,-191.1
27,-118.33333333333333,-193.45555555555558
28,-126.0,-195.71111111111114
29,-147.0,-196.4777777777778
30,-138.66666666666666,-193.47777777777776
31,-146.33333333333334,-195.51111111111112
32,-151.33333333333334,-195.34444444444446
33,-121.0,-194.64444444444445
34,-126.66666666666667,-195.85555555555555
35,-133.0,-197.76666666666668
36,-176.0,-199.2
37,-144.33333333333334,-195.43333333333334
38,-91.0,-183.9333333333333
39,-116.0,-180.11111111111111
40,-119.0,-189.96666666666667
41,-118.33333333333333,-187.5777777777778
42,-120.0,-190.5777777777778
43,-119.0,-191.2
44,-120.0,-190.91111111111113
45,-119.66666666666667,-192.44444444444443
46,-118.33333333333333,-186.06666666666666
47,-112.0,-185.7111111111111
48,-90.0,-190.64444444444447
49,-143.33333333333334,-193.3777777777778
50,-159.66666666666666,-197.4222222222222
