Generation,Best,Average
1,-139.66666666666666,-197.98888888888888
2,-187.33333333333334,-199.5777777777778
3,-122.66666666666667,-192.56666666666666
4,-120.0,-190.05555555555557
5,-117.0,-189.2111111111111
6,-118.0,-179.0111111111111
7,-114.0,-162.86666666666667
8,-117.33333333333333,-167.53333333333333
9,-117.0,-166.66666666666663
10,-116.66666666666667,-173.8666666666667
11,-115.66666666666667,-159.5
12,-116.66666666666667,-145.53333333333333
13,-116.66666666666667,-159.16666666666666
14,-117.0,-159.1222222222222
15,-117.0,-151.4111111111111
16,-116.0,-150.31111111111113
17,-115.33333333333333,-157.24444444444447
18,-115.66666666666667,-146.70000000000002
19,-114.33333333333333,-154.32222222222222
20,-116.66666666666667,-154.4777777777778
21,-116.33333333333333,-142.74444444444447
22,-103.33333333333333,-147.0
23,-115.66666666666667,-143.34444444444446
24,-116.0,-155.23333333333338
25,-114.33333333333333,-171.0
26,-116.0,-155.8222222222222
27,-118.33333333333333,-155.36666666666665
28,-102.33333333333333,-152.05555555555554
29,-117.33333333333333,-165.2111111111111
30,-116.66666666666667,-144.5777777777778
31,-117.66666666666667,-150.26666666666662
32,-116.66666666666667,-162.2
33,-95.66666666666667,-157.55555555555554
34,-95.0,-150.03333333333333
35,-91.66666666666667,-142.4222222222222
36,-111.66666666666667,-154.5777777777778
37,-93.33333333333333,-159.86666666666667
38,-93.33333333333333,-154.61111111111111
39,-116.33333333333333,-148.03333333333333
40,-115.66666666666667,-158.09999999999997
41,-115.33333333333333,-147.95555555555558
42,-108.33333333333333,-150.04444444444442
43,-91.0,-164.52222222222224
44,-117.33333333333333,-141.0888888888889
45,-114.0,-155.4888888888889
46,-115.0,-159.3111111111111
47,-97.33333333333333,-151.9222222222222
48,-106.66666666666667,-144.01111111111112
49,-91.33333333333333,-167.2111111111111
50,-116.33333333333333,-166.71111111111114
