Generation,Best,Average
1,-200.0,-200.0
2,-200.0,-200.0
3,-146.33333333333334,-196.4888888888889
4,-122.33333333333333,-195.85555555555553
5,-119.33333333333333,-197.3111111111111
6,-124.0,-197.46666666666667
7,-119.33333333333333,-196.54444444444442
8,-118.66666666666667,-189.56666666666666
9,-119.33333333333333,-195.3
10,-121.0,-193.16666666666666
11,-127.0,-195.8777777777778
12,-125.66666666666667,-193.22222222222223
13,-126.33333333333333,-194.27777777777777
14,-120.66666666666667,-188.6888888888889
15,-119.0,-189.3
16,-123.66666666666667,-193.2111111111111
17,-116.33333333333333,-190.27777777777777
18,-118.0,-185.24444444444447
19,-119.33333333333333,-191.66666666666663
20,-121.66666666666667,-191.71111111111114
21,-121.66666666666667,-189.84444444444443
22,-146.33333333333334,-191.43333333333334
23,-146.33333333333334,-195.66666666666666
24,-132.66666666666666,-193.2111111111111
25,-121.0,-192.4111111111111
26,-124.0,-187.88888888888889
27,-120.66666666666667,-187.74444444444447
28,-124.0,-187.67777777777778
29,-117.0,-191.28888888888886
30,-117.0,-187.96666666666667
31,-118.66666666666667,-190.2
32,-118.66666666666667,-183.3
33,-144.33333333333334,-193.5222222222222
34,-145.0,-191.34444444444443
35,-122.66666666666667,-189.7666666666667
36,-120.33333333333333,-184.43333333333334
37,-125.66666666666667,-192.73333333333338
38,-120.0,-183.94444444444446
39,-117.33333333333333,-184.69999999999996
40,-119.0,-183.2777777777778
41,-122.66666666666667,-185.01111111111112
42,-119.0,-180.65555555555557
43,-121.0,-183.88888888888889
44,-119.66666666666667,-180.1222222222222
45,-117.66666666666667,-181.83333333333334
46,-121.33333333333333,-182.35555555555553
47,-116.66666666666667,-176.8
48,-121.33333333333333,-184.84444444444443
49,-119.66666666666667,-180.44444444444446
50,-118.66666666666667,-186.13333333333335
