Generation,Best,Average
1,-200.0,-200.0
2,-200.0,-200.0
3,-190.0,-199.8
4,-200.0,-200.0
5,-118.0,-198.36
6,-122.33333333333333,-197.89333333333335
7,-124.33333333333333,-196.41333333333336
8,-122.0,-195.17333333333335
9,-117.66666666666667,-186.96
10,-118.33333333333333,-173.47333333333336
11,-119.66666666666667,-168.7
12,-116.66666666666667,-171.3
13,-118.33333333333333,-171.28666666666663
14,-117.0,-173.37333333333333
15,-116.33333333333333,-158.26
16,-118.0,-152.75333333333333
17,-116.0,-165.35333333333335
18,-115.66666666666667,-156.89333333333335
19,-115.0,-169.42
20,-114.66666666666667,-160.03333333333333
21,-119.0,-160.94000000000003
22,-119.33333333333333,-156.40666666666667
23,-118.33333333333333,-158.01333333333335
24,-118.0,-157.47333333333333
25,-117.66666666666667,-161.7733333333333
26,-121.0,-160.58
27,-116.66666666666667,-161.40666666666667
28,-115.66666666666667,-158.17333333333335
29,-117.33333333333333,-152.48
30,-115.66666666666667,-152.10666666666665
31,-115.66666666666667,-159.93333333333334
32,-118.33333333333333,-166.59333333333333
33,-117.0,-166.29333333333332
34,-116.0,-155.04666666666665
35,-114.33333333333333,-152.6333333333333
36,-116.66666666666667,-157.25333333333333
37,-116.33333333333333,-150.27333333333334
38,-118.0,-151.7
39,-117.0,-153.60666666666665
40,-118.0,-156.92666666666665
41,-118.66666666666667,-156.06
42,-117.33333333333333,-164.74666666666667
43,-116.0,-158.66666666666669
44,-119.33333333333333,-154.61999999999998
45,-118.66666666666667,-151.58
46,-115.66666666666667,-151.16
47,-117.0,-160.92666666666665
48,-116.66666666666667,-164.39333333333335
49,-118.33333333333333,-161.08666666666667
50,-118.0,-154.2
